LocationId;ProductId;ValidationDateTime;CalculatedProbability
270;288312;2023-07-27 14:57:53.000;0.10575421518829957
1170;288312;2023-08-04 14:58:52.000;0.17935233058055888
2659;288524;2023-08-03 14:58:18.000;0.07094389062248752
390;288525;2023-07-22 14:58:38.000;0.6346717706469313
2567;288525;2023-07-22 14:59:53.000;0.5348905550498346
2659;288525;2023-07-22 15:00:19.000;0.5238792562973497
2661;288525;2023-07-22 15:08:28.967;0.02667693852223392
2713;288525;2023-07-22 15:20:39.263;0.10279184430873192
2489;288525;2023-07-23 14:58:36.000;0.30985679173186653
2632;288525;2023-07-23 15:26:40.980;0.1120349888332915
2553;288525;2023-07-24 14:59:08.000;0.5120096739681373
2632;288525;2023-07-24 15:12:19.563;0.08373164753499336
2675;288525;2023-07-24 15:33:24.293;0.054260150885743735
2713;288525;2023-07-24 15:48:23.163;0.11162294972718247
390;288525;2023-07-25 14:58:15.000;0.4884562756308633
2489;288525;2023-07-25 14:58:54.000;0.523431300650163
2430;288525;2023-07-27 14:58:40.000;0.2965941909024464
2659;288525;2023-07-27 14:59:42.000;0.21509511520857627
2568;288525;2023-07-28 15:01:53.000;0.19803882758922262
2553;288525;2023-07-28 15:04:20.000;0.1461927629767207
2664;288525;2023-07-29 14:57:33.000;0.2627333198973294
2568;288525;2023-07-30 14:57:10.000;0.07657351372416726
2459;288525;2023-07-31 15:00:02.000;0.06914939846390382
2568;288525;2023-08-01 14:58:26.000;0.2907095819142871
2553;288525;2023-08-01 14:59:26.000;0.05793889398460964
2567;288525;2023-08-01 14:59:31.000;0.10970612863084721
2708;288525;2023-08-01 15:00:00.000;0.04457576047631873
2430;288525;2023-08-02 14:57:13.000;0.3300314694282085
2659;288525;2023-08-02 14:58:50.000;0.043264133034653623
2459;288525;2023-08-04 14:58:29.000;0.0651224551589762
325;288527;2023-07-22 14:58:24.000;0.39671167834355187
390;288527;2023-07-22 14:58:39.000;0.08282337173709836
2506;288527;2023-07-22 14:59:46.000;0.30736080363650964
